GPS Time,Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Voltage (Control Module)(V),Volumetric Efficiency (Calculated)(%),Mass Air Flow Rate(g/s)
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0
0,0,-9.375,-12.5,19.53125,12.20600033,0,4.73000002
0,0,-11.71875,-10.9375,19.53125,12.30099964,56,6.07999992
0,0,-12.5,-10.9375,19.53125,12.28100014,53,6.01999998
0,0,-12.5,-10.9375,19.53125,12.17599964,51,5.88000011
0,0,-13.28125,-10.9375,19.53125,12.18299961,50,5.78000021
0,0,-14.0625,-10.9375,19.53125,12.18200016,50,5.57000017
0,0,-14.0625,-10.9375,19.53125,12.30500031,50,5.63000011
Thu Feb 24 09:03:24 GMT+08:00 2022,0,-15.625,-10.9375,19.53125,12.25399971,50,5.76000023
Thu Feb 24 09:03:25 GMT+08:00 2022,0,-16.40625,-10.9375,19.53125,12.32900047,52,5.76000023
Thu Feb 24 09:03:25 GMT+08:00 2022,0,-15.625,-10.9375,19.53125,12.29300022,52,5.78000021
Thu Feb 24 09:03:25 GMT+08:00 2022,0,-15.625,-10.9375,19.53125,12.31799984,53,5.80999994
Thu Feb 24 09:03:26 GMT+08:00 2022,0,-14.84375,-10.9375,19.53125,12.50500011,52,5.23999977
Thu Feb 24 09:03:27 GMT+08:00 2022,0.78125,-14.0625,-10.9375,19.53125,12.41499996,53,5.32999992
Thu Feb 24 09:03:27 GMT+08:00 2022,0.78125,-14.0625,-10.9375,19.53125,12.29199982,52,5.01999998
Thu Feb 24 09:03:27 GMT+08:00 2022,0.78125,-13.28125,-10.9375,19.53125,12.46199989,52,4.86000013
Thu Feb 24 09:03:27 GMT+08:00 2022,0.78125,-13.28125,-10.9375,19.53125,12.42000008,53,4.63000011
Thu Feb 24 09:03:28 GMT+08:00 2022,0.78125,-12.5,-10.9375,19.53125,12.45699978,53,4.53999996
Thu Feb 24 09:03:29 GMT+08:00 2022,0.78125,-11.71875,-10.9375,19.53125,12.32699966,52,4.51000023
Thu Feb 24 09:03:29 GMT+08:00 2022,0.78125,-10.9375,-10.9375,19.53125,12.41600037,52,4.75
Thu Feb 24 09:03:29 GMT+08:00 2022,0,0.78125,-10.9375,12.5,12.38099957,53,4.73999977
Thu Feb 24 09:03:30 GMT+08:00 2022,-1.5625,-4.6875,-7.8125,12.5,12.48900032,58,11.47999954
Thu Feb 24 09:03:30 GMT+08:00 2022,-0.78125,-6.25,-7.8125,12.5,12.43000031,57,11.03999996
Thu Feb 24 09:03:30 GMT+08:00 2022,0.78125,-8.59375,-7.8125,12.5,12.46700001,57,11.34000015
Thu Feb 24 09:03:31 GMT+08:00 2022,0.78125,-10.15625,-7.8125,17.1875,12.52299976,58,12.10999966
Thu Feb 24 09:03:31 GMT+08:00 2022,0.78125,-12.5,-7.8125,16.40625,12.48099995,58,12.39999962
Thu Feb 24 09:03:31 GMT+08:00 2022,-0.78125,-7.8125,-6.25,12.5,12.49600029,55,11.65999985
Thu Feb 24 09:03:32 GMT+08:00 2022,-1.5625,-11.71875,-10.15625,12.5,12.40699959,53,10.44999981
Thu Feb 24 09:03:32 GMT+08:00 2022,-1.5625,-8.59375,-10.15625,12.5,12.48200035,54,10.82999992
Thu Feb 24 09:03:32 GMT+08:00 2022,0,-7.03125,-10.15625,12.5,12.47900009,55,11.28999996
Thu Feb 24 09:03:33 GMT+08:00 2022,4.6875,-14.0625,-10.15625,21.875,12.42599964,53,5.21999979
Thu Feb 24 09:03:33 GMT+08:00 2022,3.125,-17.1875,-10.15625,12.5,12.5010004,55,7.76000023
Thu Feb 24 09:03:34 GMT+08:00 2022,2.34375,0,-10.15625,12.5,12.50899982,55,8.34000015
Thu Feb 24 09:03:34 GMT+08:00 2022,1.5625,-1.5625,-10.15625,24.21875,12.24400043,56,7.61999989
Thu Feb 24 09:03:34 GMT+08:00 2022,0.78125,-3.90625,-10.15625,23.4375,12.4659996,54,4.63000011
Thu Feb 24 09:03:35 GMT+08:00 2022,0.78125,-5.46875,-10.15625,24.21875,12.54199982,53,4.38000011
Thu Feb 24 09:03:35 GMT+08:00 2022,0.78125,-7.8125,-10.15625,24.21875,12.51399994,52,4.36000013
Thu Feb 24 09:03:35 GMT+08:00 2022,0.78125,-9.375,-10.15625,23.4375,12.52999973,51,4.25
Thu Feb 24 09:03:36 GMT+08:00 2022,3.125,-10.9375,-10.15625,20.3125,12.45400047,50,4
Thu Feb 24 09:03:36 GMT+08:00 2022,4.6875,-13.28125,-10.15625,19.53125,12.45600033,47,3.75
Thu Feb 24 09:03:37 GMT+08:00 2022,3.90625,-14.84375,-10.15625,19.53125,12.16600037,50,4.98000002
Thu Feb 24 09:03:37 GMT+08:00 2022,0.78125,-19.53125,-10.15625,19.53125,12.4460001,49,5.6500001
Thu Feb 24 09:03:37 GMT+08:00 2022,0.78125,-18.75,-13.28125,19.53125,12.4090004,49,5.61999989
Thu Feb 24 09:03:38 GMT+08:00 2022,0.78125,-18.75,-13.28125,19.53125,12.41300011,50,5.5999999
Thu Feb 24 09:03:38 GMT+08:00 2022,-0.78125,-17.96875,-13.28125,19.53125,12.39400005,50,5.57000017
Thu Feb 24 09:03:38 GMT+08:00 2022,-0.78125,-17.96875,-13.28125,19.53125,12.35599995,50,5.51999998
Thu Feb 24 09:03:39 GMT+08:00 2022,-0.78125,-17.1875,-13.28125,19.53125,12.35900021,51,5.55000019
Thu Feb 24 09:03:39 GMT+08:00 2022,-0.78125,-17.1875,-13.28125,19.53125,12.38799953,52,5.59000015
Thu Feb 24 09:03:39 GMT+08:00 2022,-0.78125,-16.40625,-13.28125,19.53125,12.40400028,52,5.59000015
