GPS Time,,Fuel Trim Bank 1 Long Term(%),Fuel Trim Bank 1 Short Term(%),Fuel trim Bank 1 Sensor 1(%),Fuel trim Bank 1 Sensor 2(%),Voltage (Control Module)(V),Volumetric Efficiency (Calculated)(%),Mass Air Flow Rate(g/s)
-,,-,-,-,-,-,-,-
-,,-,-,-,-,-,-,-
-,,-,-,-,-,-,-,-
-,,-,-,-,-,-,-,-
-,,-,-,-,-,-,-,-
-,,-,-,-,-,-,-,-
-,,-,-,-,-,-,-,-
-,,-,-,-,-,-,-,-
-,,-,-,-,-,-,-,-
-,,-,-,-,-,-,-,-
-,,-,-,-,-,-,-,-
-,,2.34375,-9.375,-12.5,19.53125,12.20600033,-,4.73000002
-,,0.78125,-11.71875,-10.9375,19.53125,12.30099964,56,6.07999992
-,,0.78125,-12.5,-10.9375,19.53125,12.28100014,53,6.01999998
-,,0.78125,-12.5,-10.9375,19.53125,12.17599964,51,5.88000011
-,,0,-13.28125,-10.9375,19.53125,12.18299961,50,5.78000021
-,,-0.78125,-14.0625,-10.9375,19.53125,12.18200016,50,5.57000017
-,,-0.78125,-14.0625,-10.9375,19.53125,12.30500031,50,5.63000011
Thu Feb 24 09:03:24 GMT+08:00 2022,,-0.78125,-15.625,-10.9375,19.53125,12.25399971,50,5.76000023
Thu Feb 24 09:03:25 GMT+08:00 2022,,-0.78125,-16.40625,-10.9375,19.53125,12.32900047,52,5.76000023
Thu Feb 24 09:03:25 GMT+08:00 2022,,-0.78125,-15.625,-10.9375,19.53125,12.29300022,52,5.78000021
Thu Feb 24 09:03:25 GMT+08:00 2022,,-0.78125,-15.625,-10.9375,19.53125,12.31799984,53,5.80999994
Thu Feb 24 09:03:26 GMT+08:00 2022,,0.78125,-14.84375,-10.9375,19.53125,12.50500011,52,5.23999977
Thu Feb 24 09:03:27 GMT+08:00 2022,,0.78125,-14.0625,-10.9375,19.53125,12.41499996,53,5.32999992
Thu Feb 24 09:03:27 GMT+08:00 2022,,0.78125,-14.0625,-10.9375,19.53125,12.29199982,52,5.01999998
Thu Feb 24 09:03:27 GMT+08:00 2022,,0.78125,-13.28125,-10.9375,19.53125,12.46199989,52,4.86000013
Thu Feb 24 09:03:27 GMT+08:00 2022,,0.78125,-13.28125,-10.9375,19.53125,12.42000008,53,4.63000011
Thu Feb 24 09:03:28 GMT+08:00 2022,,0.78125,-12.5,-10.9375,19.53125,12.45699978,53,4.53999996
Thu Feb 24 09:03:29 GMT+08:00 2022,,0.78125,-11.71875,-10.9375,19.53125,12.32699966,52,4.51000023
