GPS Time,Engine Coolant Temperature(°C)
2022/02/24 09:03:24,50
2022/02/24 09:03:25,50
2022/02/24 09:03:26,50
2022/02/24 09:03:27,50
2022/02/24 09:03:28,50
2022/02/24 09:03:29,50
2022/02/24 09:03:30,50
2022/02/24 09:03:31,50
2022/02/24 09:03:32,51
2022/02/24 09:03:33,51
2022/02/24 09:03:34,51
2022/02/24 09:03:35,51
2022/02/24 09:03:36,51
2022/02/24 09:03:37,51
2022/02/24 09:03:38,51
2022/02/24 09:03:39,51
2022/02/24 09:03:40,51
2022/02/24 09:03:41,52
2022/02/24 09:03:42,52
2022/02/24 09:03:43,52
2022/02/24 09:03:44,52
2022/02/24 09:03:45,52
2022/02/24 09:03:46,52
2022/02/24 09:03:47,52
2022/02/24 09:03:48,52
2022/02/24 09:03:49,52
2022/02/24 09:03:50,53
2022/02/24 09:03:51,53
2022/02/24 09:03:52,53
2022/02/24 09:03:53,53
2022/02/24 09:03:54,53
2022/02/24 09:03:55,54
2022/02/24 09:03:56,54
2022/02/24 09:03:57,54
2022/02/24 09:03:58,54
2022/02/24 09:03:59,54
2022/02/24 09:04:00,54
2022/02/24 09:04:01,54
2022/02/24 09:04:02,54
2022/02/24 09:04:03,54
2022/02/24 09:04:04,54
2022/02/24 09:04:05,54
2022/02/24 09:04:06,54
2022/02/24 09:04:07,54
2022/02/24 09:04:08,54
2022/02/24 09:04:09,55
2022/02/24 09:04:10,55
2022/02/24 09:04:11,55
2022/02/24 09:04:12,55
2022/02/24 09:04:13,55
2022/02/24 09:04:14,55
2022/02/24 09:04:15,55
2022/02/24 09:04:16,55
2022/02/24 09:04:17,55
2022/02/24 09:04:18,55
2022/02/24 09:04:19,56
2022/02/24 09:04:20,56
2022/02/24 09:04:21,56
2022/02/24 09:04:22,56
2022/02/24 09:04:23,56
2022/02/24 09:04:24,56
2022/02/24 09:04:25,56
2022/02/24 09:04:26,56
2022/02/24 09:04:27,56
2022/02/24 09:04:28,56
2022/02/24 09:04:29,56
2022/02/24 09:04:30,56
2022/02/24 09:04:31,56
2022/02/24 09:04:32,57
2022/02/24 09:04:33,57
2022/02/24 09:04:34,57
2022/02/24 09:04:35,57
2022/02/24 09:04:36,57
2022/02/24 09:04:37,58
2022/02/24 09:04:38,58
2022/02/24 09:04:39,58
2022/02/24 09:04:40,58
2022/02/24 09:04:41,58
2022/02/24 09:04:42,58
2022/02/24 09:04:43,58
2022/02/24 09:04:44,58
2022/02/24 09:04:45,58
2022/02/24 09:04:46,58
2022/02/24 09:04:47,58
2022/02/24 09:04:48,58
2022/02/24 09:04:49,58
2022/02/24 09:04:50,59
2022/02/24 09:04:51,59
2022/02/24 09:04:52,59
2022/02/24 09:04:53,59
2022/02/24 09:04:54,59
2022/02/24 09:04:55,59
2022/02/24 09:04:56,59
2022/02/24 09:04:57,59
2022/02/24 09:04:58,59
2022/02/24 09:04:59,60
2022/02/24 09:05:00,60
2022/02/24 09:05:01,60
2022/02/24 09:05:02,60
2022/02/24 09:05:03,60
2022/02/24 09:05:04,60
2022/02/24 09:05:05,60
2022/02/24 09:05:06,60
2022/02/24 09:05:07,61
2022/02/24 09:05:08,61
2022/02/24 09:05:09,61
2022/02/24 09:05:10,61
2022/02/24 09:05:11,61
2022/02/24 09:05:12,61
2022/02/24 09:05:13,61
2022/02/24 09:05:14,61
2022/02/24 09:05:15,61
2022/02/24 09:05:16,62
2022/02/24 09:05:17,62
2022/02/24 09:05:18,62
2022/02/24 09:05:19,62
2022/02/24 09:05:20,62
2022/02/24 09:05:21,62
2022/02/24 09:05:22,62
2022/02/24 09:05:23,62
2022/02/24 09:05:24,62
2022/02/24 09:05:25,63
2022/02/24 09:05:26,63
2022/02/24 09:05:27,63
2022/02/24 09:05:28,63
2022/02/24 09:05:29,63
